analysis_id,97705zq87s409ws
mouse_life_stage,Early adult
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
mouse_strain,C57BL
pvalue,0.5342497
