parameter_name,Femur
parameter_id,IMPC_XRY_024_001
analysis_id,pa0p61q5510y3qr
gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_strain,C57BL
pvalue,0.1664572
mouse_life_stage,Early adult
