analysis_id,gyy5y46whjez271
gene_accession_id,MGI:3522699
pvalue,0.4976078
mouse_strain,C57BL
gene_symbol,Trpa1
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
mouse_life_stage,Early adult
