parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
analysis_id,e168617aphzo242
mouse_life_stage,Early adult
pvalue,0.2814674
parameter_name,Alkaline phosphatase
