analysis_id,65155f4r2admj90
pvalue,0.7424824
parameter_id,ESLIM_011_001_009
parameter_name,PP3 + pulse startle magnitude
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
mouse_strain,C57BL
