analysis_id,9invvfj819i36yx
parameter_id,ESLIM_005_001_702
mouse_life_stage,Early adult
parameter_name,Lean/Body weight
pvalue,0.1465865
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
mouse_strain,129SV
