gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_name,Startle response
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
pvalue,0.1699642
analysis_id,098be5m1r11i231
