analysis_id,3t10307493366j8
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Slc30a4
parameter_id,MGP_PBI_018_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
pvalue,0.3236955
