parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
pvalue,0.5990599
analysis_id,kc19608anjei4zu
gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
