analysis_id,v2z818dh30002k6
parameter_name,Embryo turning
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:1913506
mouse_strain,C57BL
gene_symbol,Ssr2
pvalue,0.3143602
