parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
analysis_id,q36655w98cjg246
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
pvalue,0.2544989
parameter_name,Ventral coat/hair presence
