gene_symbol,Zmynd8
pvalue,0.7257987
analysis_id,f02g17320e93m52
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Potassium
gene_accession_id,MGI:1918025
