analysis_id,53v689i85l0tifh
pvalue,0.5699736
gene_symbol,Sfpq
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1918764
parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
