gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,t5q2100ggo030rp
gene_accession_id,MGI:1917604
pvalue,0.2709612
