parameter_name,Periphery resting time
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
analysis_id,nce3x088zi033nj
mouse_strain,C57BL
pvalue,0.06710351
gene_symbol,Kif24
parameter_id,IMPC_OFD_011_001
