analysis_id,iyx40q1vz11i3mv
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
pvalue,0.5925567
parameter_id,MGP_IMM_007_001
mouse_life_stage,E12.5
