parameter_name,HDL-cholesterol
gene_symbol,Cldn19
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
analysis_id,19305h50g73d69z
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
pvalue,0.8645409
