parameter_id,HMGULA_SHI_009_001
gene_symbol,Zyg11b
mouse_life_stage,E18.5
pvalue,0.8492701
analysis_id,qxh63m0827l15w2
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Startle response
