gene_symbol,Tubb4b
analysis_id,4e631n4601617ne
gene_accession_id,MGI:1915472
parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9361398
