parameter_id,IMPC_IMM_006_001
pvalue,0.4039805
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
analysis_id,4j027514i62c7j7
gene_symbol,Bpifa3
parameter_name,Others
