gene_symbol,Ubxn4
pvalue,0.2745181
analysis_id,o3ln9093gkhgw74
gene_accession_id,MGI:1915062
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
parameter_name,Fasted blood glucose concentration
