gene_symbol,Hrnr
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
pvalue,0.9981799
mouse_strain,C57BL
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
analysis_id,7m1jk5hb84q8v95
