parameter_name,Startle Response
gene_accession_id,MGI:2684980
parameter_id,M-G-P_008_001_013
pvalue,0.3421518
mouse_life_stage,Early adult
gene_symbol,Mms22l
analysis_id,2h4bs6skqxql05w
mouse_strain,129SV
