gene_symbol,Psmd14
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
analysis_id,lo9q0aen7y77n16
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.2545741
