parameter_name,Liver weight
gene_accession_id,MGI:1919107
parameter_id,UCD_OWT_008_001
gene_symbol,Slc17a9
analysis_id,4q8977rk0202vnc
mouse_life_stage,Early adult
pvalue,0.8249339
mouse_strain,C57BL
