analysis_id,vgt1544wpn7znk9
pvalue,0.7437128
mouse_life_stage,Early adult
gene_symbol,Lamb3
parameter_id,MGP_IMM_071_001
gene_accession_id,MGI:99915
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
