analysis_id,0wriu3n6ide9642
mouse_strain,C57BL
pvalue,0.1540786
gene_symbol,Ints7
parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
