parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
pvalue,0.5210832
analysis_id,8q5u104m9cx4sxk
mouse_life_stage,Early adult
