analysis_id,676r4pwxf2v035l
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
gene_accession_id,MGI:109384
gene_symbol,Atf3
pvalue,0.4855866
