analysis_id,j782407wxfxwm9v
parameter_name,Heart weight
gene_accession_id,MGI:1913284
mouse_strain,C57BL
gene_symbol,Psmd14
parameter_id,HMGULA_HWT_008_001
pvalue,0.1087694
mouse_life_stage,Early adult
