gene_symbol,Trdmt1
analysis_id,i7nyq3obmi0v6ls
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1274787
pvalue,0.3966137
parameter_name,Limb morphology
