gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_id,IMPC_GEL_011_001
pvalue,0.2659394
analysis_id,81ma56514g9bjkx
parameter_name,Embryo turning
mouse_life_stage,Early adult
mouse_strain,C57BL
