analysis_id,5v16843nknu7u00
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,CD11b-low cDC - % of CD45+
pvalue,0.07702079
