analysis_id,xw7fa4is19hbueb
parameter_name,Total cholesterol
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3745706
gene_symbol,Dnajc6
parameter_id,IMPC_CBC_015_001
