parameter_name,Periphery distance travelled
gene_symbol,Trim46
analysis_id,55w8qp529y669dr
pvalue,0.2266796
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_010_001
gene_accession_id,MGI:2673000
