gene_symbol,Pld1
pvalue,0.511658
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
analysis_id,p2rwuvmj1rhwc3z
