gene_symbol,Bmp7
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
pvalue,0.7458597
analysis_id,xqgs125i5l36g1y
gene_accession_id,MGI:103302
