parameter_id,IMPC_IPG_011_001
pvalue,0.3916252
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_name,Initial response to glucose challenge
analysis_id,742866570r414p7
