gene_symbol,Ncaph
parameter_name,Basophil cell count
mouse_strain,C57BL
pvalue,0.8576579
parameter_id,IMPC_HEM_037_001
analysis_id,9bv3j261236b6k7
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
