mouse_strain,C3H
mouse_life_stage,Early adult
parameter_name,Delayed embryonic development
pvalue,0.1130616
analysis_id,e8u63raf1744g2o
gene_accession_id,MGI:95457
parameter_id,IMPC_GEL_063_001
gene_symbol,Mecom
