analysis_id,ykx17kd65d35g28
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
pvalue,0.3566131
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
parameter_name,Haemoglobin
gene_symbol,Stk35
