parameter_name,Phosphorus
pvalue,0.767901
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
mouse_strain,C57BL
analysis_id,ud71t0q9ky82eb1
parameter_id,IMPC_CBC_010_001
gene_symbol,Tox
