analysis_id,63hbr13qx5948dk
gene_accession_id,MGI:1924315
parameter_id,MGP_MLN_066_001
pvalue,0.1380876
mouse_life_stage,Early adult
gene_symbol,Ints7
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
