analysis_id,91972j2h7404064
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
pvalue,0.6321373
parameter_name,Creatinine
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:1917604
