analysis_id,5z0840rj6b2be99
pvalue,0.2923977
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
gene_symbol,SECISBP2L
