analysis_id,1qa39gb21la49s4
mouse_strain,C57BL
gene_symbol,Atrn
parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
pvalue,0.06301494
gene_accession_id,MGI:1341628
parameter_id,MGP_PBI_018_001
