analysis_id,xymh2q36xm5pqq7
mouse_life_stage,E9.5
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:1328306
pvalue,0.7654786
gene_symbol,Orc2
