analysis_id,g23x76j4pm0vb24
pvalue,0.6767913
parameter_name,Right kidney weight
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Late adult
gene_symbol,Slc30a4
