parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:88071
analysis_id,82h8n9hv9wx5k9j
mouse_strain,C57BL
gene_symbol,Arnt
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
pvalue,0.6483502
