parameter_name,Periphery average speed
gene_symbol,Trim46
pvalue,0.2033361
gene_accession_id,MGI:2673000
parameter_id,ESLIM_007_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,i5fyry7ia4m39to
