parameter_name,Periphery resting time
gene_symbol,Amigo1
pvalue,0.8262239
mouse_strain,C57BL
analysis_id,r948sf499by6888
parameter_id,HRWLLA_OFD_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
