parameter_name,Red blood cell count
mouse_strain,C57BL
analysis_id,560o0m80fr87et3
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_id,IMPC_HEM_002_001
pvalue,0.2198294
mouse_life_stage,Middle aged adult
