analysis_id,5u52let0gy00z1m
gene_symbol,Trp53rkb
parameter_id,IMPC_IMM_047_001
pvalue,0.7173103
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1914050
mouse_strain,C57BL
mouse_life_stage,Early adult
