parameter_name,DN CD25- NKT cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1229957
parameter_id,IMPC_IMM_025_001
analysis_id,9z354etwyg6xd7g
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
