analysis_id,843xwjv683ucikk
mouse_strain,C57BL
parameter_name,Latency to first transition into dark
mouse_life_stage,Early adult
pvalue,0.7589818
parameter_id,IMPC_LDT_006_001
gene_symbol,Stk35
gene_accession_id,MGI:1914583
