gene_symbol,Trim46
parameter_id,M-G-P_016_001_001
pvalue,0.7104722
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
analysis_id,4ih7832o8501w57
parameter_name,White blood cell-count
mouse_strain,C57BL
