analysis_id,006nr5ep8jgtcv3
gene_symbol,Ahcy
mouse_life_stage,E9.5
parameter_name,Pale yolk sac
pvalue,0.1349267
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
gene_accession_id,MGI:87968
