mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1934811
mouse_strain,C57BL
parameter_name,Distance travelled - total
pvalue,0.5128008
parameter_id,JAX_OFD_020_001
gene_symbol,Nucks1
analysis_id,vgld010rf49ly3e
