gene_symbol,Atg4c
parameter_id,IMPC_GEP_017_001
parameter_name,Facial Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
analysis_id,9sgf3q8bbes3377
mouse_strain,C57BL
pvalue,0.677529
