analysis_id,8412ymc2058d8y4
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_MLN_066_001
gene_symbol,Sdcbp2
pvalue,0.143812
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
