analysis_id,j3uq26w87u0360q
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
pvalue,0.9024335
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
parameter_name,Eosinophil number
mouse_life_stage,Early adult
