gene_symbol,Maco1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,zu18n8w709ta762
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,0.370496
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1913396
