analysis_id,7537078gdz5h23s
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
pvalue,0.7632574
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
gene_symbol,Bach2
parameter_name,Body position
