analysis_id,j247vz5x9xm21l8
pvalue,0.737138
gene_symbol,Dnajc5b
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
mouse_strain,C57BL
